,Aircraft,Flight Type,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time,RA_Time,Delay_Time
95,TVJ108,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Chiang Mai Int'l (CNX / VTCC),10.03.2024,16:00,10.03.2024,16:35,55.0,66.0,11.0
96,GAP2778,A320,Bohol-Panglao (TAG / RPSP),Manila Int'l (MNL / RPLL),10.03.2024,17:00,10.03.2024,18:05,65.0,60.0,-5.0
97,CDC8964,A320,Xiangfan (XFN / ZHXF),Wenzhou Int'l (WNZ / ZSWZ),10.03.2024,17:00,10.03.2024,18:27,87.0,117.0,30.0
98,CSZ9728,A320,Haikou Meilan Int'l (HAK / ZJHK),,,,,,,,
99,CCA8675,A320,Guiyang Longdongbao (KWE / ZUGY),Beijing Daxing International Airport (PKX / ZBAD),10.03.2024,17:00,10.03.2024,19:27,150.0,194.0,44.0
100,CDC8621,A320,Lanzhou Zhongchuan International (LHW / ZLLL),Zhangye Ganzhou (YZY / ZLZY),10.03.2024,17:00,10.03.2024,17:47,47.0,42.0,-5.0
101,CTV688,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Ngurah Rai/Bali Intl (DPS / WADD),10.03.2024,15:59,10.03.2024,18:29,90.0,86.0,-4.0
102,EZY2516,A320,Amsterdam Schiphol (AMS / EHAM),London Luton (LTN / EGGW),10.03.2024,10:59,10.03.2024,10:47,42.0,66.0,24.0
103,APJ926,A320,Taiwan Taoyuan Int'l (TPE / RCTP),,,,,,,,
104,EZY4203,A320,Naples Int'l (Capodichino) (NAP / LIRN),Ibiza (IBZ / LEIB),10.03.2024,10:59,10.03.2024,12:50,111.0,139.0,28.0
105,VJC142,A320,Tan Son Nhat Int'l (SGN / VVTS),Noi Bai Int'l (HAN / VVNB),10.03.2024,15:59,10.03.2024,17:30,110.0,147.0,37.0
106,NWK1603,A320,RAAF Learmonth (LEA / YPLM),Perth Int'l (PER / YPPH),10.03.2024,16:59,10.03.2024,18:26,78.0,76.0,-2.0
107,SWR977,A320,Berlin-Brandenburg (BER / EDDB),Zurich (Kloten) (ZRH / LSZH),10.03.2024,10:59,10.03.2024,11:56,65.0,66.0,1.0
108,AXM6469,A320,Sibu (SBW / WBGS),Kuching Int'l (KCH / WBGG),10.03.2024,16:59,10.03.2024,17:19,20.0,52.0,32.0
109,CSN6360,A320,Harbin Taiping Int'l (HRB / ZYHB),,,,,,,,
110,JST448,A320,Melbourne Tullamarine (MEL / YMML),Gold Coast (OOL / YBCG),10.03.2024,19:59,10.03.2024,20:39,99.0,141.0,42.0
111,CDC8943,A320,Dashuipo (WEH / ZSWH),Changchun Longjia Int'l (CGQ / ZYCC),10.03.2024,16:59,10.03.2024,18:23,84.0,80.0,-4.0
112,SNG4390,A320,Changzhou Benniu (CZX / ZSCG),Harbin Taiping Int'l (HRB / ZYHB),10.03.2024,16:59,10.03.2024,19:25,146.0,165.0,19.0
113,CBJ5257,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Lijiang (LJG / ZPLJ),10.03.2024,16:59,10.03.2024,20:02,187.0,199.0,12.0
114,LBT246,A320,Tunis-Carthage Int'l (TUN / DTTA),Frankfurt Int'l (FRA / EDDF),10.03.2024,09:58,10.03.2024,13:13,135.0,173.0,38.0
115,IBE3314,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Stockholm-Arlanda (ARN / ESSA),10.03.2024,10:58,10.03.2024,13:13,135.0,132.0,-3.0
116,CQH6604,A320,Kansai Int'l (KIX / RJBB),Ningbo Lishe Int'l (NGB / ZSNB),10.03.2024,17:58,10.03.2024,19:30,154.0,175.0,21.0
117,VJC629,A320,Da Nang Int'l (DAD / VVDN),Tan Son Nhat Int'l (SGN / VVTS),10.03.2024,15:58,10.03.2024,16:58,60.0,101.0,41.0
118,EIN593,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Dublin Int'l (DUB / EIDW),10.03.2024,10:58,10.03.2024,11:48,111.0,155.0,44.0
