,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time
70,70,JZR208,A320,King Abdulaziz Int'l (JED / OEJN),Kuwait Int'l (KWI / OKKK),Sun 12:01PM +03,Sun 01:41PM +03,0 days 01:40:00,2h 10m,100.0
71,71,EZY2701,A320,Los Martínez Del Puerto Airport (LEMP),Bristol Int'l (BRS / EGGD),Sun 11:01AM CEST,Sun 12:04PM BST,0 days 02:05:00,2h 43m,125.0
72,72,ART1417,A320,Ibiza (IBZ / LEIB),Brussels (BRU / EBBR),Sun 11:01AM CEST,Sun 01:25PM CEST,0 days 02:24:00,2h 8m,144.0
73,73,IAD942,A320,Bengaluru Int'l (BLR / VOBL),Birsa Munda (Ranchi) (IXR / VERC),Sun 02:31PM IST,Sun 04:30PM IST,0 days 02:00:00,1h 52m,120.0
74,74,IAD978,A320,Visakhapatnam (VTZ / VOVZ),Bengaluru Int'l (BLR / VOBL),Sun 02:31PM IST,Sun 03:18PM IST,0 days 00:47:00,0h 55m,47.0
75,75,MEA324,A320,Beirut Air Base/Rafic Hariri Int'l (Beirut Int'l) (BEY / OLBA),Erbil Int'l (EBL / ORER),Sun 12:01PM EEST,Sun 01:40PM +03,0 days 01:40:00,2h 30m,100.0
76,76,CES5022,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Xi'an Xianyang Int'l (XIY / ZLXY),Sun 05:01PM CST,Sun 06:43PM CST,0 days 01:05:00,0h 55m,65.0
77,77,AIQ3431,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Chiang Mai Int'l (CNX / VTCC),Sun 04:01PM +07,Sun 04:50PM +07,0 days 00:55:00,0h 46m,55.0
78,78,GAP2919,A320,Manila Int'l (MNL / RPLL),Bicol International (DRP / RPLK),Sun 05:01PM PST,Sun 05:28PM PST,0 days 00:45:00,1h 31m,45.0
79,79,THA111,A320,Chiang Mai Int'l (CNX / VTCC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),Sun 04:01PM +07,Sun 04:45PM +07,0 days 01:05:00,1h 21m,65.0
80,80,CES2165,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Shanghai Hongqiao Int'l (SHA / ZSSS),Sun 05:01PM CST,Sun 06:47PM CST,0 days 01:46:00,1h 56m,106.0
81,81,CQH8661,A320,Shijiazhuang Zhengding International Airport (SJW / ZBSJ),Changchun Longjia Int'l (CGQ / ZYCC),Sun 05:01PM CST,Sun 06:51PM CST,0 days 01:51:00,1h 54m,111.0
82,82,CSN3125,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Heze (HZA / ZSHZ),Sun 05:01PM CST,Sun 07:04PM CST,0 days 02:03:00,2h 2m,123.0
83,83,CGZ7263,A320,Xingyi Wanfenglin Airport (ACX / ZUYI),Wuhan Tianhe (WUH / ZHHH),Sun 05:01PM CST,Sun 06:43PM CST,0 days 01:42:00,2h 2m,102.0
84,84,QDA6222,A320,Lijiang (LJG / ZPLJ),Xishuangbanna Gasa (JHG / ZPJH),Sun 05:01PM CST,Sun 05:53PM CST,0 days 00:52:00,1h 21m,52.0
85,85,TAP1901,A320,General Humberto Delgado Airport (LIS / LPPT),Faro (FAO / LPFR),Sun 10:00AM WEST,Sun 10:21AM WEST,0 days 00:33:00,0h 38m,33.0
86,86,AWC922,A320,Toulouse-Blagnac (TLS / LFBO),,Sun 11:00AM CEST,,,,
87,87,CSN6060,A320,Phnom Penh Int'l (Pochentong Int'l) (PNH / VDPP),Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 04:00PM +07,Sun 07:27PM CST,0 days 02:20:00,2h 37m,140.0
88,88,EZY2840,A320,Galileo Galilei (Pisa Int'l) (PSA / LIRP),Bristol Int'l (BRS / EGGD),Sun 11:00AM CEST,Sun 11:34AM BST,0 days 01:45:00,1h 45m,105.0
89,89,TAI366,A320,El Dorado Int'l (BOG / SKBO),El Salvador Int'l (SAL / MSLP),Sun 04:00AM -05,Sun 05:44AM CST,0 days 02:35:00,2h 58m,155.0
90,90,CEB646,A320,Puerto Princesa (PPS / RPVP),Manila Int'l (MNL / RPLL),Sun 05:00PM PST,Sun 06:10PM PST,0 days 01:10:00,1h 3m,70.0
91,91,VLG8348,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Zurich (Kloten) (ZRH / LSZH),Sun 11:00AM CEST,Sun 12:55PM CEST,0 days 01:45:00,1h 56m,105.0
92,92,CSZ9475,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Nanchang Changbei Int'l (KHN / ZSCN),Sun 05:00PM CST,Sun 06:38PM CST,0 days 01:43:00,1h 49m,103.0
