Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time
FHY8014,A320,Antalya (AYT / LTAI),,Sun 12:07PM +03,,
AIQ3017,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Sun 04:07PM +07,Sun 05:22PM +07,01:15:00
MMA334,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Yangon Int'l (RGN / VYYY),Sun 04:06PM +07,Sun 04:36PM +0630,01:00:00
CSZ9756,A320,Xiamen Gaoqi Int'l (XMN / ZSAM),Yangzhou Taizhou (YTY / ZSYA),Sun 05:06PM CST,Sun 06:35PM CST,01:29:00
JBU729,A320,Rafael Hernandez (BQN / TJBQ),,,,
KZR7141,A320,Almaty (ALA / UAAA),Narimanovka (KSN / UAUU),Sun 03:06PM +06,Sun 05:11PM +06,02:05:00
BAW565,A320,Linate (LIN / LIML),London Heathrow (LHR / EGLL),Sun 11:06AM CEST,Sun 11:32AM BST,01:34:00
AFL1248,A320,Sheremetyevo Int'l (SVO / UUEE),Orenburg Tsentralny (REN / UWOO),Sun 12:06PM MSK,Sun 04:01PM +05,01:55:00
AIQ655,A320,Tan Son Nhat Int'l (SGN / VVTS),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Sun 04:06PM +07,Sun 05:26PM +07,01:20:00
VTI627,A320,Indira Gandhi Int'l (DEL / VIDP),Udaipur (UDR / VAUD),Sun 02:36PM IST,Sun 03:41PM IST,01:05:00
JSA535,A320,Singapore Changi (SIN / WSSS),,Sun 05:06PM +08,,
BTK6293,A320,Sultan Hasanuddin Int'l (UPG / WAAA),Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Sun 05:06PM WITA,Sun 06:06PM WIB,02:00:00
NKS883,A320,Luis Munoz Marin Intl (SJU / TJSJ),Orlando Intl (KMCO),Sun 05:06AM AST,Sun 08:07AM EDT,03:01:00
NMA140,A320,Cairo Int'l (CAI / HECA),Prince Nayef bin Abdulaziz Regional Airport (ELQ / OEGS),Sun 11:05AM EET,Sun 01:55PM +03,01:50:00
APG778,A320,Mactan-Cebu Int'l (CEB / RPVM),Manila Int'l (MNL / RPLL),Sun 05:05PM PST,Sun 06:20PM PST,01:15:00
EWG6812,A320,Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),,,,
ABY581,A320,Borg El Arab (HBE / HEBA),Sharjah Int'l (SHJ / OMSJ),Sun 11:05AM EET,Sun 04:25PM +04,03:20:00
AFL16,A320,Sheremetyevo Int'l (SVO / UUEE),Pulkovo (LED / ULLI),Sun 12:05PM MSK,Sun 12:44PM MSK,00:56:00
AWQ260,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Singapore Changi (SIN / WSSS),Sun 04:05PM WIB,Sun 07:00PM +08,01:40:00
CSN8842,A320,Kunming Changshui Int'l (KMG / ZPPP),Beijing Daxing International Airport (PKX / ZBAD),Sun 05:05PM CST,Sun 07:53PM CST,02:48:00
LDA13,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),Sun 11:05AM CEST,Sun 01:14PM CEST,02:09:00
VLG1174,A320,Valencia (VLC / LEVC),,,,
AFL1053,A320,Uytash (MCX / URML),Sheremetyevo Int'l (SVO / UUEE),Sun 12:05PM MSK,Sun 03:05PM MSK,03:00:00
EZY3314,A320,Krakow Int'l (KRK / EPKK),Edinburgh (EDI / EGPH),Sun 11:05AM CEST,Sun 12:16PM BST,02:00:00
TAM3191,A320,Marechal Rondon (CGB / SBCY),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Sun 05:05AM -04,Sun 07:20AM -03,01:15:00
EJU4861,A320,Paris Orly (ORY / LFPO),Nice Cote d'Azur (NCE / LFMN),Sun 11:05AM CEST,Sun 12:07PM CEST,01:02:00
EIN651,A320,Near Frankfurt am Main,Dublin Int'l (DUB / EIDW),Sun 11:05AM CEST,Sun 11:44AM IST,01:40:00
BNL122,A320,Tunis-Carthage Int'l (TUN / DTTA),Misrata Airport (MRA / HLMS),Sun 10:05AM CET,Sun 11:55AM EET,00:50:00
EWG22H,A320,Nice Cote d'Azur (NCE / LFMN),,Sun 11:05AM CEST,,
APG228,A320,Caticlan (Godofredo P. Ramos) (MPH / RPVE),Manila Int'l (MNL / RPLL),Sun 05:05PM PST,Sun 05:50PM PST,00:45:00
TVJ3536,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Sun 04:04PM +07,Sun 08:44PM CST,03:40:00
JST934,A320,Brisbane (BNE / YBBN),Cairns Int'l (CNS / YBCS),Sun 07:04PM AEST,Sun 08:59PM AEST,01:55:00
BAW685,A320,Innsbruck (Kranebitten) (INN / LOWI),London Heathrow (LHR / EGLL),Sun 11:04AM CEST,Sun 11:37AM BST,01:29:00
TAR643,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Tunis-Carthage Int'l (TUN / DTTA),Sun 11:04AM CEST,Sun 11:50AM CET,01:50:00
AXM378,A320,Kuala Lumpur Int'l (KUL / WMKK),Ngurah Rai/Bali Intl (DPS / WADD),Sun 05:04PM +08,Sun 07:44PM WITA,02:40:00
JBU1354,A320,Ontario Intl (KONT),John F Kennedy Intl (KJFK),Sun 02:04AM PDT,Sun 09:18AM EDT,04:12:00
CDC8890,A320,Xiangfan (XFN / ZHXF),Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 05:04PM CST,Sun 06:48PM CST,01:43:00
IAD592,A320,Surat (STV / VASU),Netaji Subhash Chandra Bose Int'l (CCU / VECC),Sun 02:33PM IST,Sun 04:48PM IST,02:15:00
VLG8482,A320,Václav Havel Airport (PRG / LKPR),,Sun 11:03AM CEST,,
SJV888,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Namu International (KNO / WIMM),Sun 04:03PM WIB,Sun 06:03PM WIB,02:00:00
AXM378,A320,Kuala Lumpur Int'l (KUL / WMKK),Ngurah Rai/Bali Intl (DPS / WADD),Sun 05:04PM +08,Sun 07:44PM WITA,02:40:00
JBU1354,A320,Ontario Intl (KONT),John F Kennedy Intl (KJFK),Sun 02:04AM PDT,Sun 09:18AM EDT,04:12:00
CDC8890,A320,Xiangfan (XFN / ZHXF),Guangzhou Baiyun Int'l (CAN / ZGGG),Sun 05:04PM CST,Sun 06:48PM CST,01:43:00
IAD592,A320,Surat (STV / VASU),Netaji Subhash Chandra Bose Int'l (CCU / VECC),Sun 02:33PM IST,Sun 04:48PM IST,02:15:00
VLG8482,A320,Václav Havel Airport (PRG / LKPR),,Sun 11:03AM CEST,,
SJV888,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Namu International (KNO / WIMM),Sun 04:03PM WIB,Sun 06:03PM WIB,02:00:00
AIQ3396,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Nakhon Phanom (KOP / VTUW),Sun 04:03PM +07,Sun 05:03PM +07,01:00:00
AIC3450,A320,Near Kullu / Manali,,Sun 02:33PM IST,,
JST492,A320,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Gold Coast (OOL / YBCG),Sun 08:03PM AEDT,Sun 07:49PM AEST,00:46:00
EWG5703,A320,Pristina (PRN / BKPR),Dusseldorf Int'l (DUS / EDDL),Sun 11:03AM CEST,Sun 01:13PM CEST,02:10:00
EZY1018,A320,Ibiza (IBZ / LEIB),Basle-Mulhouse (EAP / LFSB),Sun 11:03AM CEST,Sun 12:37PM CEST,01:34:00
AFL1954,A320,Sheremetyevo Int'l (SVO / UUEE),Aktau (SCO / UATE),Sun 12:03PM MSK,Sun 04:48PM +05,02:45:00
DLH325,A320,Marco Polo Int'l (Marco Polo Venice) (VCE / LIPZ),Frankfurt Int'l (FRA / EDDF),Sun 11:03AM CEST,Sun 12:10PM CEST,01:05:00
EZY8028,A320,Menorca (MAH / LEMH),London Gatwick (LGW / EGKK),Sun 11:03AM CEST,Sun 11:42AM BST,01:34:00
CES9771,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Lanzhou Zhongchuan International (LHW / ZLLL),Sun 05:03PM CST,Sun 06:50PM CST,01:44:00
OTC7275,A320,Changsha Huanghua Int'l (CSX / ZGHA),,,,
EDW177,A320,Antalya (AYT / LTAI),Zurich (Kloten) (ZRH / LSZH),Sun 12:02PM +03,Sun 02:14PM CEST,03:11:00
JZR233,A320,Kuwait Int'l (KWI / OKKK),King Fahd Int'l (DMM / OEDF),Sun 12:02PM +03,Sun 12:50PM +03,00:45:00
RYR2053,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),Sun 11:02AM CEST,Sun 11:57AM CEST,00:55:00
SWR400,A320,Zurich (Kloten) (ZRH / LSZH),Dublin Int'l (DUB / EIDW),Sun 11:02AM CEST,Sun 11:52AM IST,02:00:00
DLH1935,A320,Berlin-Brandenburg (BER / EDDB),Munich Int'l (MUC / EDDM),Sun 11:02AM CEST,Sun 11:52AM CEST,00:50:00
PIA304,A320,Jinnah Int'l (KHI / OPKC),Allama Iqbal Int'l (LHE / OPLA),Sun 02:02PM PKT,Sun 03:27PM PKT,01:25:00
