,Unnamed: 0,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime,EA_Time,RA_Time
142,142,EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,Fri 03:46PM CET,,,,,
143,143,EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),Fri 02:46PM GMT,Fri 03:27PM GMT,0 days 00:47:00,1h 5m,47.0,65.0
144,144,VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),Fri 03:46PM CET,Fri 05:55PM CET,0 days 02:05:00,1h 49m,125.0,109.0
145,145,JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),Fri 10:46AM EDT,Fri 01:05PM EST,0 days 03:48:00,4h 24m,228.0,264.0
146,146,VIV3045,A320,General Heriberto Jara Int'l (VER / MMVR),,,,,,,
147,147,VTI809,A320,Indira Gandhi Int'l (DEL / VIDP),Bengaluru Int'l (BLR / VOBL),Fri 08:16PM IST,Fri 10:36PM IST,0 days 02:25:00,2h 7m,145.0,127.0
148,148,THA121,A320,Chiang Mai Int'l (CNX / VTCC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 09:46PM +07,Fri 10:46PM +07,0 days 01:00:00,1h 22m,60.0,82.0
149,149,VLG3220,A320,Barcelona Int'l (BCN / LEBL),Tenerife South (Reina Sofia) (TFS / GCTS),Fri 03:46PM CET,Fri 06:15PM WET,0 days 03:15:00,4h 0m,195.0,240.0
150,150,CSZ8760,A320,Yibin (YBP / ZUYB),Quanzhou Jinjiang (JJN / ZSQZ),Fri 10:46PM CST,Sat 12:39AM CST,0 days 02:06:00,2h 36m,126.0,156.0
151,151,CSC8738,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 10:46PM CST,Sat 12:52AM CST,0 days 02:05:00,2h 40m,125.0,160.0
152,152,SJV745,A320,Ngurah Rai/Bali Intl (DPS / WADD),,,,,,,
153,153,EIN507,A320,Bordeaux-Merignac (BOD / LFBD),Dublin Int'l (DUB / EIDW),Fri 03:45PM CET,Fri 04:10PM GMT,0 days 01:40:00,1h 46m,100.0,106.0
154,154,TAP1015,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),General Humberto Delgado Airport (LIS / LPPT),Fri 03:45PM CET,Fri 03:24PM WET,0 days 01:03:00,0h 55m,63.0,55.0
155,155,VOE2038,A320,Lyon (LYS / LFLL),Václav Havel Airport (PRG / LKPR),Fri 03:45PM CET,Fri 05:00PM CET,0 days 01:20:00,1h 51m,80.0,111.0
156,156,VOE1134,A320,Olbia-Costa Smeralda (OLB / LIEO),,,,,,,
157,157,ARE4061,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),Fri 09:45AM -05,Fri 10:32AM -05,0 days 00:47:00,0h 37m,47.0,37.0
158,158,AXM720,A320,Singapore Changi (SIN / WSSS),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:45PM +08,Fri 11:25PM +08,0 days 00:50:00,1h 3m,50.0,63.0
159,159,DKH1076,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Shanghai Pudong Int'l (PVG / ZSPD),Fri 10:45PM CST,Fri 11:53PM CST,0 days 01:10:00,1h 49m,70.0,109.0
