Aircraft,Flight Type,Origin,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,EA_Time,RA_Time,Delay_Time
AIQ3426,A320,Chiang Mai Int'l (CNX / VTCC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),08.03.2024,21:47,08.03.2024,22:45,65,105,40
SAA357,A320,OR Tambo Int'l (JNB / FAOR),Cape Town Int'l (CPT / FACT),08.03.2024,16:47,08.03.2024,18:35,105,101,-4
UAL1567,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Washington Dulles Intl (KIAD),08.03.2024,08:47,08.03.2024,14:41,234,246,12
AAL2327,A320,Dallas-Fort Worth Intl (KDFW),Eglin AFB/Destin-Ft Walton Beach (KVPS),08.03.2024,09:47,08.03.2024,11:11,90,109,19
APG288,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Manila Int'l (MNL / RPLL),08.03.2024,21:47,09.03.2024,01:56,180,173,-7
TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),Paris Orly (ORY / LFPO),08.03.2024,15:47,08.03.2024,17:52,125,149,24
VTI590,A320,Manohar International Airport (GOX / VOGA),,,,,,,,
GBB124,A320,Cape Town Int'l (CPT / FACT),OR Tambo Int'l (JNB / FAOR),08.03.2024,16:47,08.03.2024,17:50,73,63,-10
AFL1214,A320,Sheremetyevo Int'l (SVO / UUEE),Kurumoch (KUF / UWWW),08.03.2024,17:47,08.03.2024,20:17,90,95,5
EZY5108,A320,Barcelona Int'l (BCN / LEBL),Berlin-Brandenburg (BER / EDDB),08.03.2024,15:47,08.03.2024,17:49,131,176,45
CBJ5158,A320,Kunming Changshui Int'l (KMG / ZPPP),Hangzhou Xiaoshan Int'l (HGH / ZSHC),08.03.2024,22:47,09.03.2024,01:03,136,125,-11
AAY354,A320,Orlando Sanford Intl (KSFB),Nashville Intl (KBNA),08.03.2024,10:47,08.03.2024,11:14,86,104,18
JBU173,A320,Fort Lauderdale Intl (KFLL),Punta Cana Int'l (PUJ / MDPC),08.03.2024,10:47,08.03.2024,12:33,133,115,-18
UAL764,A320,Chicago O'Hare Intl (KORD),Calgary Int'l (CYYC),08.03.2024,09:47,08.03.2024,12:04,210,200,-10
CES6581,A320,Shanghai Pudong Int'l (PVG / ZSPD),Hefei Xinqiao Airport (HFE / ZSOF),08.03.2024,22:47,08.03.2024,23:49,61,48,-13
CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),08.03.2024,22:47,09.03.2024,02:30,219,221,2
EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,08.03.2024,15:46,,,,,
EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),08.03.2024,14:46,08.03.2024,15:27,47,65,18
VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),08.03.2024,15:46,08.03.2024,17:55,125,109,-16
JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),08.03.2024,10:46,08.03.2024,13:05,228,264,36
VIV3045,A320,General Heriberto Jara Int'l (VER / MMVR),,,,,,,,
VTI809,A320,Indira Gandhi Int'l (DEL / VIDP),Bengaluru Int'l (BLR / VOBL),08.03.2024,20:16,08.03.2024,22:36,145,127,-18
THA121,A320,Chiang Mai Int'l (CNX / VTCC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),08.03.2024,21:46,08.03.2024,22:46,60,82,22
VLG3220,A320,Barcelona Int'l (BCN / LEBL),Tenerife South (Reina Sofia) (TFS / GCTS),08.03.2024,15:46,08.03.2024,18:15,195,240,45
CSZ8760,A320,Yibin (YBP / ZUYB),Quanzhou Jinjiang (JJN / ZSQZ),08.03.2024,22:46,09.03.2024,00:39,126,156,30
CSC8738,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Chengdu Shuangliu Int'l (CTU / ZUUU),08.03.2024,22:46,09.03.2024,00:52,125,160,35
SJV745,A320,Ngurah Rai/Bali Intl (DPS / WADD),,,,,,,,
EIN507,A320,Bordeaux-Merignac (BOD / LFBD),Dublin Int'l (DUB / EIDW),08.03.2024,15:45,08.03.2024,16:10,100,106,6
TAP1015,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),General Humberto Delgado Airport (LIS / LPPT),08.03.2024,15:45,08.03.2024,15:24,63,55,-8
VOE2038,A320,Lyon (LYS / LFLL),Václav Havel Airport (PRG / LKPR),08.03.2024,15:45,08.03.2024,17:00,80,111,31
VOE1134,A320,Olbia-Costa Smeralda (OLB / LIEO),,,,,,,,
ARE4061,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),08.03.2024,09:45,08.03.2024,10:32,47,37,-10
AXM720,A320,Singapore Changi (SIN / WSSS),Kuala Lumpur Int'l (KUL / WMKK),08.03.2024,22:45,08.03.2024,23:25,50,63,13
DKH1076,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Shanghai Pudong Int'l (PVG / ZSPD),08.03.2024,22:45,08.03.2024,23:53,70,109,39
