"Aircraft","FlightType","Departure_Date","Departure_Time","Arrival_Date","Arrival_Time","EA_Time_Minutes","RA_Time_Minutes","Delay_Time","Delay_Predicted"
"84","A320","4","268","4","330","65","65","0","0.88684229676001"
"92","A320","4","30","4","51","45","65","20","20.121679250145178"
"142","A320","4","268","4","350","150","150","0","0.6648982432204793"
"157","A320","4","268","4","318","45","45","0","0.9390644270046113"
"693","A320","4","152","4","208","148","168","20","19.852735279385513"
"277","A320","4","234","4","326","120","130","10","10.334538850157658"
"386","A320","4","93","4","117","77","107","30","29.629431253324114"
"471","A320","4","300","4","399","125","135","10","10.321483317596519"
"499","A320","4","235","4","284","55","55","0","0.9129533618823107"
"539","A320","4","269","4","319","36","70","34","33.57300958495364"
"602","A320","4","57","4","79","45","57","12","12.448633320888954"
"673","A320","4","234","4","305","85","83","-2","-1.0836413157986424"
"75","A320","4","308","4","411","115","115","0","0.7562869711485138"
"76","A320","4","309","4","389","65","65","0","0.88684229676001"
"131","A320","4","33","4","53","34","43","9","9.59996326905239"
"136","A320","4","33","4","52","22","57","35","34.56869581728189"
"145","A320","4","285","4","399","150","140","-10","-8.926409168349805"
"147","A320","4","285","4","345","50","50","0","0.9260088944434575"
"149","A320","4","284","4","369","85","75","-10","-8.756687245054875"
"156","A320","4","285","4","356","65","65","0","0.88684229676001"
"158","A320","4","285","4","337","40","48","8","8.625165888821991"
"185","A320","4","105","4","168","115","115","0","0.7562869711485138"
"220","A320","4","284","4","383","107","135","28","27.632836575643168"
"222","A320","4","284","4","382","104","125","21","20.926754707080633"
"241","A320","4","283","4","410","175","190","15","14.986581697770136"
"246","A320","4","284","4","377","97","100","3","3.680679111839739"
"271","A320","4","249","4","323","80","100","20","20.03029052221713"
"347","A320","4","106","4","119","48","85","37","36.41906853027797"
"352","A320","4","84","4","149","130","160","30","29.491042608175917"
"438","A320","4","200","4","263","80","85","5","5.643329404861705"
"480","A320","4","336","4","433","50","70","20","20.108623717584024"
"574","A320","4","135","4","177","75","75","0","0.8607312316377165"
"706","A320","4","15","4","80","192","202","10","10.146539181277122"
"44","A320","4","154","4","205","81","75","-6","-4.909719854377839"
"46","A320","4","154","4","297","252","275","23","22.45857242558469"
"56","A320","4","169","4","235","160","180","20","19.821402001238738"
"96","A320","4","44","4","72","75","94","19","19.084215313621257"
"97","A320","4","43","4","67","75","72","-3","-2.0166609918333602"
"118","A320","4","45","4","70","71","91","20","20.05379048082719"
"143","A320","4","298","4","415","160","160","0","0.6387871780981715"
"190","A320","4","265","4","321","55","65","10","10.504260773452595"
"197","A320","4","300","4","399","125","127","2","2.6484373883402856"
"199","A320","4","297","4","381","84","93","9","9.4694079434409"
"221","A320","4","298","4","393","110","115","5","5.56499620949481"
"238","A320","4","298","4","367","56","66","10","10.501649666940368"
"243","A320","4","299","4","385","83","97","14","14.267672755738277"
"244","A320","4","299","4","432","217","227","10","10.081261518471367"
"268","A320","4","266","4","328","65","90","25","24.86511082568572"
"317","A320","4","120","4","151","50","85","35","34.49558483493945"
"319","A320","5","92","5","179","114","142","28","27.614558830057533"
"338","A320","5","119","5","174","91","121","30","29.5928757621529"
"362","A320","5","122","5","139","85","115","30","29.60854240122626"
"380","A320","5","118","5","155","123","143","20","19.918012942191268"
"396","A320","5","91","5","214","150","180","30","29.43882047793133"
"409","A320","5","145","5","172","38","48","10","10.54864958416051"
"415","A320","5","120","5","174","100","100","0","0.7954535688319613"
"427","A320","5","121","5","154","60","70","10","10.491205240891448"
"479","A320","5","345","5","446","49","76","27","26.82515001219545"
"481","A320","5","345","5","446","51","76","25","24.901666316856932"
"25","A320","5","176","5","240","155","175","20","19.834457533799906"
"42","A320","5","177","5","214","80","90","10","10.438983110646847"
"64","A320","5","271","5","350","75","75","0","0.8607312316377165"
"69","A320","5","272","5","331","50","50","0","0.9260088944434575"
