Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
SAS1020,A320,Stockholm-Arlanda (ARN / ESSA),Skelleftea (SFT / ESNS),06.03.2024,05:58PM,06.03.2024,06:48PM,0 days 00:50:00,0h 50m,50,50,0
TAM3927,A320,Afonso Pena Int'l (CWB / SBCT),São Paulo-Congonhas (CGH / SBSP),06.03.2024,01:58PM,06.03.2024,02:43PM,0 days 00:45:00,0h 45m,45,45,0
TAP455,A320,Paris Orly (ORY / LFPO),Porto / Oporto (OPO / LPPR),06.03.2024,05:57PM,06.03.2024,06:50PM,0 days 01:53:00,1h 50m,113,110,-3
THY1845,A320,Istanbul Airport (IST / LTFM),"Athens Int'l, Eleftherios Venizelos (ATH / LGAV)",06.03.2024,07:57PM,06.03.2024,08:05PM,0 days 01:10:00,1h 10m,70,70,0
THY2612,A320,Istanbul Airport (IST / LTFM),Diyarbakir (DIY / LTCC),06.03.2024,07:58PM,06.03.2024,09:33PM,0 days 01:35:00,1h 35m,95,95,0
UAL2120,A320,Denver Intl (KDEN),New Orleans Intl (KMSY),06.03.2024,09:56AM,06.03.2024,12:59PM,0 days 02:03:00,2h 39m,123,159,36
VLG3916,A320,Barcelona Int'l (BCN / LEBL),Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),06.03.2024,05:58PM,06.03.2024,06:32PM,0 days 00:33:00,0h 30m,33,30,-3.00000000000001
WAL522,A320,Miami Intl (KMIA),Ignacio Agramonte Int'l (CMW / MUCM),06.03.2024,11:57AM,06.03.2024,12:47PM,0 days 00:50:00,0h 50m,50,50,0
AFL1234,A320,Sheremetyevo Int'l (SVO / UUEE),Ufa Int'l (UFA / UWUU),07.03.2024,11:54AM,07.03.2024,03:15PM,0 days 01:36:00,1h 31m,96,91,-5
AFL1386,A320,Near Nizhny Novgorod,,07.03.2024,11:53AM,,,,0h 05m,,5,
